,Image,Category
,313,"NEUTROPHIL, LYMPHOCYTE"
,314,NEUTROPHIL
,315,NEUTROPHIL
,316,
,317,NEUTROPHIL
,318,MONOCYTE
,319,EOSINOPHIL
,320,NEUTROPHIL
,321,
,322,NEUTROPHIL
,323,MONOCYTE
,324,NEUTROPHIL
,325,NEUTROPHIL
,326,NEUTROPHIL
,327,NEUTROPHIL
,328,
,329,NEUTROPHIL
,330,NEUTROPHIL
,331,NEUTROPHIL
,332,NEUTROPHIL
,333,NEUTROPHIL
,334,NEUTROPHIL
,335,MONOCYTE
,336,NEUTROPHIL
,337,NEUTROPHIL
,338,NEUTROPHIL
,339,NEUTROPHIL
,340,NEUTROPHIL
,341,NEUTROPHIL
,342,MONOCYTE
,343,NEUTROPHIL
,344,EOSINOPHIL
,345,EOSINOPHIL
,346,NEUTROPHIL
,347,LYMPHOCYTE
,348,NEUTROPHIL
,349,NEUTROPHIL
,350,NEUTROPHIL
,351,NEUTROPHIL
,352,EOSINOPHIL
,353,EOSINOPHIL
,354,NEUTROPHIL
,355,NEUTROPHIL
,356,LYMPHOCYTE
,357,NEUTROPHIL
,358,
,359,EOSINOPHIL
,360,NEUTROPHIL
,361,NEUTROPHIL
,362,NEUTROPHIL
,363,
,364,NEUTROPHIL
,365,NEUTROPHIL
,366,NEUTROPHIL
,367,NEUTROPHIL
,368,NEUTROPHIL
,369,NEUTROPHIL
,370,NEUTROPHIL
,371,NEUTROPHIL
,372,NEUTROPHIL
,373,
,374,"NEUTROPHIL, NEUTROPHIL"
,375,NEUTROPHIL
,376,EOSINOPHIL
,377,NEUTROPHIL
,378,NEUTROPHIL
,379,NEUTROPHIL
,380,
,381,NEUTROPHIL
,382,NEUTROPHIL
,383,EOSINOPHIL
,384,NEUTROPHIL
,385,NEUTROPHIL
,386,NEUTROPHIL
,387,EOSINOPHIL
,388,NEUTROPHIL
,389,NEUTROPHIL
,390,NEUTROPHIL
,391,NEUTROPHIL
,392,NEUTROPHIL
,393,NEUTROPHIL
,394,
,395,NEUTROPHIL
,396,NEUTROPHIL
,397,NEUTROPHIL
,398,NEUTROPHIL
,399,
,400,NEUTROPHIL
,401,
,402,NEUTROPHIL
,403,NEUTROPHIL
,404,NEUTROPHIL
,405,NEUTROPHIL
,406,
,407,NEUTROPHIL
,408,NEUTROPHIL
,409,NEUTROPHIL
,410,EOSINOPHIL
